,TICKER,date,PRC,CFACPR,ADJPRC,RET
0,VOO,20101231,57.57,0.5,115.14,0.0
1,VOO,20110103,58.11,0.5,116.22,0.009379885356956663
2,VOO,20110104,58.06,0.5,116.12,-0.0008604371020477508
3,VOO,20110105,58.37,0.5,116.74,0.005339304168101799
4,VOO,20110106,58.27,0.5,116.54,-0.0017132088401574652
5,VOO,20110107,58.153,0.5,116.306,-0.0020078942852240766
6,VOO,20110110,58.1,0.5,116.2,-0.0009113889223255622
7,VOO,20110111,58.29,0.5,116.58,0.0032702237521513577
8,VOO,20110112,58.81,0.5,117.62,0.008920912677989445
9,VOO,20110113,58.73,0.5,117.46,-0.0013603128719605895
10,VOO,20110114,59.15,0.5,118.3,0.007151370679380209
11,VOO,20110118,59.25,0.5,118.5,0.0016906170752324368
12,VOO,20110119,58.66,0.5,117.32,-0.0099578059071731
13,VOO,20110120,58.588,0.5,117.176,-0.0012274122059323656
14,VOO,20110121,58.72,0.5,117.44,0.002253021096470187
15,VOO,20110124,59.08,0.5,118.16,0.006130790190735702
16,VOO,20110125,59.06,0.5,118.12,-0.00033852403520640006
17,VOO,20110126,59.37,0.5,118.74,0.0052488994243142795
18,VOO,20110127,59.45,0.5,118.9,0.0013474818932122101
19,VOO,20110128,58.402,0.5,116.804,-0.017628259041211125
20,VOO,20110131,58.85,0.5,117.7,0.007670970172254377
21,VOO,20110201,59.77,0.5,119.54,0.015632965165675472
22,VOO,20110202,59.67,0.5,119.34,-0.0016730801405387963
23,VOO,20110203,59.82,0.5,119.64,0.002513826043237799
24,VOO,20110204,59.98,0.5,119.96,0.0026746907388832675
25,VOO,20110207,60.3591,0.5,120.7182,0.006320440146715622
26,VOO,20110208,60.64,0.5,121.28,0.004653813592316647
27,VOO,20110209,60.49,0.5,120.98,-0.0024736147757256077
28,VOO,20110210,60.51,0.5,121.02,0.0003306331625061443
29,VOO,20110211,60.89,0.5,121.78,0.006279953726656684
30,VOO,20110214,61.04,0.5,122.08,0.0024634586960092797
31,VOO,20110215,60.824,0.5,121.648,-0.0035386631716907146
